reading_id,sensor_id,unit_id,refinery_id,sensor_type,measurement_unit,reading_timestamp,reading_value,reading_quality,is_anomaly,is_interpolated,event_time
52723c45-8447-4e49-9b9d-a59f81915734,SENS-000000,UNIT-00000,REF-000,Temperature,Fahrenheit,2024-01-01 00:00:00,300.0,GOOD,True,False,2024-01-01 00:00:00
0c8bd42a-b8b0-4f3b-a9c8-3e08a9763119,SENS-000001,UNIT-00001,REF-001,Pressure,PSI,2024-01-01 00:02:13,154.47,GOOD,False,False,2024-01-01 00:02:13
ddbf94f9-a46d-42ae-94a9-c3f41d303c97,SENS-000002,UNIT-00002,REF-002,Flow Rate,BPH,2024-01-01 00:04:27,3500.0,GOOD,True,False,2024-01-01 00:04:27
e7306295-8975-4806-9d32-7e3799984d57,SENS-000003,UNIT-00003,REF-003,Level,Percent,2024-01-01 00:06:41,69.52,GOOD,False,False,2024-01-01 00:06:41
bc3badf5-58f7-4a59-a515-7680def9532d,SENS-000004,UNIT-00004,REF-004,Vibration,mm/s,2024-01-01 00:08:55,2.79,UNCERTAIN,False,False,2024-01-01 00:08:55
4e37cc6f-25d8-4fab-9f74-0c1f43e078d1,SENS-000005,UNIT-00005,REF-005,Temperature,Fahrenheit,2024-01-01 00:11:09,436.98,BAD,False,False,2024-01-01 00:11:09
cd5b945e-208c-4be7-8ae8-88ea0e8db7a8,SENS-000006,UNIT-00006,REF-006,Pressure,PSI,2024-01-01 00:13:23,158.44,GOOD,False,False,2024-01-01 00:13:23
a77fc752-3735-41cc-bd59-0d275262c453,SENS-000007,UNIT-00007,REF-007,Flow Rate,BPH,2024-01-01 00:15:37,6500.0,GOOD,True,False,2024-01-01 00:15:37
59f5ab5d-c4f7-4136-b9e3-d30569b5db58,SENS-000008,UNIT-00008,REF-008,Level,Percent,2024-01-01 00:17:51,69.18,GOOD,False,False,2024-01-01 00:17:51
174f888b-005e-4937-9af9-b6947004b6ea,SENS-000009,UNIT-00009,REF-009,Vibration,mm/s,2024-01-01 00:20:05,4.77,GOOD,False,False,2024-01-01 00:20:05
ea3c2b95-5228-4f4c-b812-5b7a537c7604,SENS-000010,UNIT-00010,REF-010,Temperature,Fahrenheit,2024-01-01 00:22:19,476.1,UNCERTAIN,False,False,2024-01-01 00:22:19
20469d6b-c16f-48f2-97bc-3a88275af0a1,SENS-000011,UNIT-00011,REF-011,Pressure,PSI,2024-01-01 00:24:33,75.0,BAD,True,False,2024-01-01 00:24:33
8dda6b4f-4775-4c04-b450-4d30a8c453f5,SENS-000012,UNIT-00012,REF-012,Flow Rate,BPH,2024-01-01 00:26:47,3500.0,GOOD,True,False,2024-01-01 00:26:47
6ef5f4d8-b20d-4f19-8cf2-c60657248660,SENS-000013,UNIT-00013,REF-013,Level,Percent,2024-01-01 00:29:00,74.35,GOOD,False,False,2024-01-01 00:29:00
5b7ff72d-d1bd-4ce3-af78-e5a3f4e1ba73,SENS-000014,UNIT-00014,REF-014,Vibration,mm/s,2024-01-01 00:31:14,4.58,GOOD,False,False,2024-01-01 00:31:14
d42b1f0e-5edd-42ec-8997-a2b479d64a92,SENS-000015,UNIT-00015,REF-015,Temperature,Fahrenheit,2024-01-01 00:33:28,300.0,GOOD,True,False,2024-01-01 00:33:28
98a20fed-d4bb-4460-9283-f1f69111fcc2,SENS-000016,UNIT-00016,REF-016,Pressure,PSI,2024-01-01 00:35:42,225.0,UNCERTAIN,True,False,2024-01-01 00:35:42
c9cabeb2-6a86-4d11-82c6-3d5f1de15743,SENS-000017,UNIT-00017,REF-017,Flow Rate,BPH,2024-01-01 00:37:56,3500.0,BAD,True,False,2024-01-01 00:37:56
6607d4df-ea19-4e94-8c0b-f0713e5a8b66,SENS-000018,UNIT-00018,REF-018,Level,Percent,2024-01-01 00:40:10,67.43,GOOD,False,False,2024-01-01 00:40:10
19dd8277-3281-4b2f-bede-37d97534d98a,SENS-000019,UNIT-00019,REF-019,Vibration,mm/s,2024-01-01 00:42:24,4.19,GOOD,False,False,2024-01-01 00:42:24
5b40a373-d2cc-47ce-8f07-75ebcd5c166b,SENS-000020,UNIT-00020,REF-020,Temperature,Fahrenheit,2024-01-01 00:44:38,482.78,GOOD,False,False,2024-01-01 00:44:38
9096157e-fbae-4c00-b1d7-78dd7463f5e0,SENS-000021,UNIT-00021,REF-021,Pressure,PSI,2024-01-01 00:46:52,225.0,GOOD,True,False,2024-01-01 00:46:52
1251c6be-27b7-4fd9-8012-3861db1ce041,SENS-000022,UNIT-00022,REF-022,Flow Rate,BPH,2024-01-01 00:49:06,5209.41,UNCERTAIN,False,False,2024-01-01 00:49:06
73e0264c-e858-401f-8e2d-fbd87229e46a,SENS-000023,UNIT-00023,REF-023,Level,Percent,2024-01-01 00:51:20,69.03,BAD,False,False,2024-01-01 00:51:20
bc1ed361-72d6-499c-b6b5-d15dd24cc792,SENS-000024,UNIT-00024,REF-024,Vibration,mm/s,2024-01-01 00:53:34,-2.0,GOOD,True,False,2024-01-01 00:53:34
18c30426-bd2a-459c-8a55-0830d06fb29f,SENS-000025,UNIT-00025,REF-025,Temperature,Fahrenheit,2024-01-01 00:55:48,446.53,GOOD,False,False,2024-01-01 00:55:48
d6a99ca6-5e8c-4543-aaeb-f4853aa907cf,SENS-000026,UNIT-00026,REF-026,Pressure,PSI,2024-01-01 00:58:01,175.46,GOOD,False,False,2024-01-01 00:58:01
8aa7ae9b-74da-4274-8a41-432fa68abb7f,SENS-000027,UNIT-00027,REF-027,Flow Rate,BPH,2024-01-01 01:00:15,4969.02,GOOD,False,False,2024-01-01 01:00:15
9794e952-9634-450c-b717-26a55c1f341b,SENS-000028,UNIT-00028,REF-028,Level,Percent,2024-01-01 01:02:29,76.47,UNCERTAIN,False,False,2024-01-01 01:02:29
1ddc40e3-3da9-4ce1-914c-5d4367e46375,SENS-000029,UNIT-00029,REF-029,Vibration,mm/s,2024-01-01 01:04:43,-2.0,BAD,True,False,2024-01-01 01:04:43
bccd9dee-2b55-4453-b19d-285586c14db5,SENS-000030,UNIT-00030,REF-030,Temperature,Fahrenheit,2024-01-01 01:06:57,600.0,GOOD,True,False,2024-01-01 01:06:57
cb6786a2-a519-46a6-a087-0b814154e5c2,SENS-000031,UNIT-00031,REF-031,Pressure,PSI,2024-01-01 01:09:11,75.0,GOOD,True,False,2024-01-01 01:09:11
8a9763b8-6930-4ef0-b966-4839e46f7cbc,SENS-000032,UNIT-00032,REF-032,Flow Rate,BPH,2024-01-01 01:11:25,5170.01,GOOD,False,False,2024-01-01 01:11:25
4747ca99-277c-4a7b-ad9f-479853f3048f,SENS-000033,UNIT-00033,REF-033,Level,Percent,2024-01-01 01:13:39,75.48,GOOD,False,False,2024-01-01 01:13:39
