reading_id,sensor_id,unit_id,refinery_id,sensor_type,measurement_unit,reading_timestamp,reading_value,reading_quality,is_anomaly,is_interpolated,event_time
2d6e6e5b-804f-4a82-bffe-895ff90b0e82,SENS-000000,UNIT-00000,REF-000,Temperature,Fahrenheit,2024-02-01 00:00:00,474.15,GOOD,False,False,2024-02-01 00:00:00
dfbf93f3-79cf-408d-ae03-1bb512df4374,SENS-000001,UNIT-00001,REF-001,Pressure,PSI,2024-02-01 00:02:05,157.17,GOOD,False,False,2024-02-01 00:02:05
b1fd5921-e879-43b6-a428-a92b010a57d6,SENS-000002,UNIT-00002,REF-002,Flow Rate,BPH,2024-02-01 00:04:10,3500.0,GOOD,True,False,2024-02-01 00:04:10
ab92254f-aec4-4287-86eb-46652cbbfa28,SENS-000003,UNIT-00003,REF-003,Level,Percent,2024-02-01 00:06:15,29.0,GOOD,True,False,2024-02-01 00:06:15
81ebd57f-0f70-4bf2-b306-3e9e1d42eb4c,SENS-000004,UNIT-00004,REF-004,Vibration,mm/s,2024-02-01 00:08:21,3.38,UNCERTAIN,False,False,2024-02-01 00:08:21
d940c26f-df27-43e1-9a80-047f240f1040,SENS-000005,UNIT-00005,REF-005,Temperature,Fahrenheit,2024-02-01 00:10:26,505.16,BAD,False,False,2024-02-01 00:10:26
45950179-c7cf-404a-ab70-981de22c2d3e,SENS-000006,UNIT-00006,REF-006,Pressure,PSI,2024-02-01 00:12:31,146.37,GOOD,False,False,2024-02-01 00:12:31
553a1a47-2bc3-42fe-9c84-0463c0b3c359,SENS-000007,UNIT-00007,REF-007,Flow Rate,BPH,2024-02-01 00:14:36,4881.85,GOOD,False,False,2024-02-01 00:14:36
1b8a4b48-6452-4d4a-ac7a-d0f9b5006991,SENS-000008,UNIT-00008,REF-008,Level,Percent,2024-02-01 00:16:42,29.0,GOOD,True,False,2024-02-01 00:16:42
258d6e7f-e0bf-4300-be9f-0ff5b10a6b57,SENS-000009,UNIT-00009,REF-009,Vibration,mm/s,2024-02-01 00:18:47,2.91,GOOD,False,False,2024-02-01 00:18:47
9e2da33b-514c-4703-9c4b-3a14cd5bce26,SENS-000010,UNIT-00010,REF-010,Temperature,Fahrenheit,2024-02-01 00:20:52,398.87,UNCERTAIN,False,False,2024-02-01 00:20:52
84d00ea7-c558-444f-9ced-6f2e619455fb,SENS-000011,UNIT-00011,REF-011,Pressure,PSI,2024-02-01 00:22:58,120.8,BAD,False,False,2024-02-01 00:22:58
ee51e0b9-306d-479d-8550-2128b8f92088,SENS-000012,UNIT-00012,REF-012,Flow Rate,BPH,2024-02-01 00:25:03,4912.16,GOOD,False,False,2024-02-01 00:25:03
59615f08-7e16-44f3-8e10-2a07dc57e5ce,SENS-000013,UNIT-00013,REF-013,Level,Percent,2024-02-01 00:27:08,71.94,GOOD,False,False,2024-02-01 00:27:08
18b6a9d0-fedc-48c9-a457-5a2b46e3842e,SENS-000014,UNIT-00014,REF-014,Vibration,mm/s,2024-02-01 00:29:13,3.63,GOOD,False,False,2024-02-01 00:29:13
e3c0c29b-0c22-4bad-a0be-437ff72ffbc8,SENS-000015,UNIT-00015,REF-015,Temperature,Fahrenheit,2024-02-01 00:31:19,600.0,GOOD,True,False,2024-02-01 00:31:19
fce4aad6-80b6-4cfb-b4fa-a01b717ce099,SENS-000016,UNIT-00016,REF-016,Pressure,PSI,2024-02-01 00:33:24,225.0,UNCERTAIN,True,False,2024-02-01 00:33:24
878e16f2-9c1a-4489-b602-080edc1e973e,SENS-000017,UNIT-00017,REF-017,Flow Rate,BPH,2024-02-01 00:35:29,3500.0,BAD,True,False,2024-02-01 00:35:29
503449c7-97c9-4cf3-8566-c83909193e7a,SENS-000018,UNIT-00018,REF-018,Level,Percent,2024-02-01 00:37:35,58.55,GOOD,False,False,2024-02-01 00:37:35
8fdbf652-ed08-43c3-95cd-cf70ca26c828,SENS-000019,UNIT-00019,REF-019,Vibration,mm/s,2024-02-01 00:39:40,5.49,GOOD,False,False,2024-02-01 00:39:40
25f18a46-065e-41ea-b3c9-b88f42a0bb56,SENS-000020,UNIT-00020,REF-020,Temperature,Fahrenheit,2024-02-01 00:41:45,426.7,GOOD,False,False,2024-02-01 00:41:45
7a34efd0-8469-48e1-857a-707b919d1051,SENS-000021,UNIT-00021,REF-021,Pressure,PSI,2024-02-01 00:43:50,165.07,GOOD,False,False,2024-02-01 00:43:50
1e493141-987d-400b-ab70-8237ecb65fe1,SENS-000022,UNIT-00022,REF-022,Flow Rate,BPH,2024-02-01 00:45:56,5023.27,UNCERTAIN,False,False,2024-02-01 00:45:56
df26eb67-71a0-4a7f-b936-e5a29198932e,SENS-000023,UNIT-00023,REF-023,Level,Percent,2024-02-01 00:48:01,63.54,BAD,False,False,2024-02-01 00:48:01
a4979230-486a-403c-b473-fcd5afea7ffa,SENS-000024,UNIT-00024,REF-024,Vibration,mm/s,2024-02-01 00:50:06,5.29,GOOD,False,False,2024-02-01 00:50:06
9f104826-90eb-4a83-9c5e-59bd4a733c55,SENS-000025,UNIT-00025,REF-025,Temperature,Fahrenheit,2024-02-01 00:52:12,300.0,GOOD,True,False,2024-02-01 00:52:12
d554f135-646a-4b23-b94b-6512dc3075a3,SENS-000026,UNIT-00026,REF-026,Pressure,PSI,2024-02-01 00:54:17,148.07,GOOD,False,False,2024-02-01 00:54:17
fdeab61b-c4fa-4d49-81e4-134b1433421d,SENS-000027,UNIT-00027,REF-027,Flow Rate,BPH,2024-02-01 00:56:22,5051.36,GOOD,False,False,2024-02-01 00:56:22
dc6598fd-b3d2-4303-8860-f331c2d192cf,SENS-000028,UNIT-00028,REF-028,Level,Percent,2024-02-01 00:58:27,73.46,UNCERTAIN,False,False,2024-02-01 00:58:27
3f9144a8-5bb7-41fc-9cbe-8aaa83396115,SENS-000029,UNIT-00029,REF-029,Vibration,mm/s,2024-02-01 01:00:33,10.0,BAD,True,False,2024-02-01 01:00:33
7d9fba8e-30c7-4eee-8047-ee808845bf64,SENS-000030,UNIT-00030,REF-030,Temperature,Fahrenheit,2024-02-01 01:02:38,449.53,GOOD,False,False,2024-02-01 01:02:38
5389fd45-9bb3-49b1-9387-4e8eedc526c9,SENS-000031,UNIT-00031,REF-031,Pressure,PSI,2024-02-01 01:04:43,157.81,GOOD,False,False,2024-02-01 01:04:43
bf013e65-19d9-4a11-8ac2-b9a6922bf1d8,SENS-000032,UNIT-00032,REF-032,Flow Rate,BPH,2024-02-01 01:06:48,6500.0,GOOD,True,False,2024-02-01 01:06:48
0efff349-a259-4d9f-b9ab-f9080915e646,SENS-000033,UNIT-00033,REF-033,Level,Percent,2024-02-01 01:08:54,101.0,GOOD,True,False,2024-02-01 01:08:54
9f435eea-38b2-4787-9f75-b9fe909c9af5,SENS-000034,UNIT-00034,REF-034,Vibration,mm/s,2024-02-01 01:10:59,4.71,UNCERTAIN,False,False,2024-02-01 01:10:59
5ab07516-554a-4c74-a605-e27b3ac892c7,SENS-000035,UNIT-00035,REF-035,Temperature,Fahrenheit,2024-02-01 01:13:04,300.0,BAD,True,False,2024-02-01 01:13:04
2670fb83-4071-4baa-ac63-46d646370f84,SENS-000036,UNIT-00036,REF-036,Pressure,PSI,2024-02-01 01:15:10,147.88,GOOD,False,False,2024-02-01 01:15:10
c76730b7-7ca7-480a-b8e2-4b0ec1eec8e4,SENS-000037,UNIT-00037,REF-037,Flow Rate,BPH,2024-02-01 01:17:15,4647.52,GOOD,False,False,2024-02-01 01:17:15
fc98f110-4971-4bbf-a38b-d61ee8ad5b68,SENS-000038,UNIT-00038,REF-038,Level,Percent,2024-02-01 01:19:20,29.0,GOOD,True,False,2024-02-01 01:19:20
cdf9d49a-1a60-41ec-8522-a930d3528351,SENS-000039,UNIT-00039,REF-039,Vibration,mm/s,2024-02-01 01:21:25,4.3,GOOD,False,False,2024-02-01 01:21:25
b8553f9c-12e7-4954-9c9a-bd2433587c41,SENS-000040,UNIT-00040,REF-040,Temperature,Fahrenheit,2024-02-01 01:23:31,441.2,UNCERTAIN,False,False,2024-02-01 01:23:31
bcd34745-2eb0-451f-902c-a36dc0a493f1,SENS-000041,UNIT-00041,REF-041,Pressure,PSI,2024-02-01 01:25:36,169.34,BAD,False,False,2024-02-01 01:25:36
d8203ec1-c323-48db-b9ef-8ce4ffba7cfc,SENS-000042,UNIT-00042,REF-042,Flow Rate,BPH,2024-02-01 01:27:41,5002.32,GOOD,False,False,2024-02-01 01:27:41
