reading_id,sensor_id,unit_id,refinery_id,sensor_type,measurement_unit,reading_timestamp,reading_value,reading_quality,is_anomaly,is_interpolated,event_time
2e3f324c-0956-4e60-beb7-eac5cf7db24b,SENS-000000,UNIT-00000,REF-000,Temperature,Fahrenheit,2024-03-01 00:00:00,600.0,GOOD,True,False,2024-03-01 00:00:00
35139c83-0ed7-44bf-83fe-f986608e3f82,SENS-000001,UNIT-00001,REF-001,Pressure,PSI,2024-03-01 00:02:13,139.67,GOOD,False,False,2024-03-01 00:02:13
fd104dcd-eee4-474f-8f56-ded923242d81,SENS-000002,UNIT-00002,REF-002,Flow Rate,BPH,2024-03-01 00:04:27,4926.82,GOOD,False,False,2024-03-01 00:04:27
196e0834-1f0e-4b32-8a42-15d2aec7cd4d,SENS-000003,UNIT-00003,REF-003,Level,Percent,2024-03-01 00:06:41,64.05,GOOD,False,False,2024-03-01 00:06:41
57d57e9c-11df-4065-8211-f4607e3867ca,SENS-000004,UNIT-00004,REF-004,Vibration,mm/s,2024-03-01 00:08:55,4.26,UNCERTAIN,False,False,2024-03-01 00:08:55
070e8072-a685-4cb8-825a-465b18e45c2f,SENS-000005,UNIT-00005,REF-005,Temperature,Fahrenheit,2024-03-01 00:11:09,476.96,BAD,False,False,2024-03-01 00:11:09
0d4f5241-edca-438d-813b-16c50e90b911,SENS-000006,UNIT-00006,REF-006,Pressure,PSI,2024-03-01 00:13:23,75.0,GOOD,True,False,2024-03-01 00:13:23
bb000a4c-a000-45a5-8bc9-44b3b99d0f8a,SENS-000007,UNIT-00007,REF-007,Flow Rate,BPH,2024-03-01 00:15:37,4965.11,GOOD,False,False,2024-03-01 00:15:37
9067000c-f7b5-42e1-a2d9-c3d95ae3ec7c,SENS-000008,UNIT-00008,REF-008,Level,Percent,2024-03-01 00:17:51,68.4,GOOD,False,False,2024-03-01 00:17:51
a23f16d6-c4e3-44a7-b798-349de33a2b57,SENS-000009,UNIT-00009,REF-009,Vibration,mm/s,2024-03-01 00:20:05,3.67,GOOD,False,False,2024-03-01 00:20:05
921e0f7f-a320-4384-96d0-df892139b8e1,SENS-000010,UNIT-00010,REF-010,Temperature,Fahrenheit,2024-03-01 00:22:19,487.64,UNCERTAIN,False,False,2024-03-01 00:22:19
eefda88b-86de-45dd-85c3-fcc8c3e7bd4e,SENS-000011,UNIT-00011,REF-011,Pressure,PSI,2024-03-01 00:24:33,75.0,BAD,True,False,2024-03-01 00:24:33
36b72349-efa4-4c5f-bd2c-91084dc243ae,SENS-000012,UNIT-00012,REF-012,Flow Rate,BPH,2024-03-01 00:26:47,6500.0,GOOD,True,False,2024-03-01 00:26:47
7cf7e3d2-bc4b-4af7-aafd-357b7186222e,SENS-000013,UNIT-00013,REF-013,Level,Percent,2024-03-01 00:29:00,76.16,GOOD,False,False,2024-03-01 00:29:00
