reading_id,sensor_id,unit_id,refinery_id,sensor_type,measurement_unit,reading_timestamp,reading_value,reading_quality,is_anomaly,is_interpolated,event_time
3a26a5d4-b977-4731-9142-61bc6790ad6b,SENS-000000,UNIT-00000,REF-000,Temperature,Fahrenheit,2024-04-01 00:00:00,457.05,GOOD,False,False,2024-04-01 00:00:00
83c27172-470e-494f-bdef-dc63df429bd4,SENS-000001,UNIT-00001,REF-001,Pressure,PSI,2024-04-01 00:02:09,153.33,GOOD,False,False,2024-04-01 00:02:09
1bbe2549-aeb5-46bc-91d7-3ac21e4beafc,SENS-000002,UNIT-00002,REF-002,Flow Rate,BPH,2024-04-01 00:04:19,4949.79,GOOD,False,False,2024-04-01 00:04:19
f44545c1-928f-4ebd-8e72-b44823a68716,SENS-000003,UNIT-00003,REF-003,Level,Percent,2024-04-01 00:06:28,101.0,GOOD,True,False,2024-04-01 00:06:28
5f26eeb9-ada8-4747-9526-ca040bca3029,SENS-000004,UNIT-00004,REF-004,Vibration,mm/s,2024-04-01 00:08:38,-2.0,UNCERTAIN,True,False,2024-04-01 00:08:38
f8ca82bc-1ed2-48f6-b3ad-8d1d711226fb,SENS-000005,UNIT-00005,REF-005,Temperature,Fahrenheit,2024-04-01 00:10:48,600.0,BAD,True,False,2024-04-01 00:10:48
47620348-c389-4517-9109-79996e06b833,SENS-000006,UNIT-00006,REF-006,Pressure,PSI,2024-04-01 00:12:57,137.0,GOOD,False,False,2024-04-01 00:12:57
5ae35a61-3b78-473a-befc-028215d83a05,SENS-000007,UNIT-00007,REF-007,Flow Rate,BPH,2024-04-01 00:15:07,4967.77,GOOD,False,False,2024-04-01 00:15:07
ed65ae53-2a7e-43b1-8143-3fd5057d68f4,SENS-000008,UNIT-00008,REF-008,Level,Percent,2024-04-01 00:17:16,55.34,GOOD,False,False,2024-04-01 00:17:16
117d2a08-10a8-406a-be9b-af14abaec89b,SENS-000009,UNIT-00009,REF-009,Vibration,mm/s,2024-04-01 00:19:26,1.93,GOOD,False,False,2024-04-01 00:19:26
e06353ff-1adf-41c5-866c-0b1896cb259a,SENS-000010,UNIT-00010,REF-010,Temperature,Fahrenheit,2024-04-01 00:21:36,600.0,UNCERTAIN,True,False,2024-04-01 00:21:36
d312655d-541b-467a-96cf-3739452297fa,SENS-000011,UNIT-00011,REF-011,Pressure,PSI,2024-04-01 00:23:45,75.0,BAD,True,False,2024-04-01 00:23:45
2fc16716-a456-4bc6-865e-3d36f11e1d55,SENS-000012,UNIT-00012,REF-012,Flow Rate,BPH,2024-04-01 00:25:55,4962.45,GOOD,False,False,2024-04-01 00:25:55
6ec08a57-fcd9-4d54-ae89-4474517dcb20,SENS-000013,UNIT-00013,REF-013,Level,Percent,2024-04-01 00:28:04,64.72,GOOD,False,False,2024-04-01 00:28:04
0593c57c-a770-471e-8ea0-f6a1d69dedfd,SENS-000014,UNIT-00014,REF-014,Vibration,mm/s,2024-04-01 00:30:14,3.63,GOOD,False,False,2024-04-01 00:30:14
ea45f278-b2b8-47b4-9b39-b1c90a6d3973,SENS-000015,UNIT-00015,REF-015,Temperature,Fahrenheit,2024-04-01 00:32:24,600.0,GOOD,True,False,2024-04-01 00:32:24
52ce3d3c-7a26-4085-98f8-4bf4057ad55d,SENS-000016,UNIT-00016,REF-016,Pressure,PSI,2024-04-01 00:34:33,75.0,UNCERTAIN,True,False,2024-04-01 00:34:33
1eebc23e-d94d-461f-8d3e-22a06cd00b8e,SENS-000017,UNIT-00017,REF-017,Flow Rate,BPH,2024-04-01 00:36:43,5189.46,BAD,False,False,2024-04-01 00:36:43
6b43bd07-6a06-4629-af79-87403d00878b,SENS-000018,UNIT-00018,REF-018,Level,Percent,2024-04-01 00:38:52,64.65,GOOD,False,False,2024-04-01 00:38:52
8bbe467b-de98-4721-9298-1b7096ce5adf,SENS-000019,UNIT-00019,REF-019,Vibration,mm/s,2024-04-01 00:41:02,10.0,GOOD,True,False,2024-04-01 00:41:02
6f6ee61b-4d0a-4893-93c4-7d702f2eefc6,SENS-000020,UNIT-00020,REF-020,Temperature,Fahrenheit,2024-04-01 00:43:12,444.13,GOOD,False,False,2024-04-01 00:43:12
5c9af963-4885-4c81-956e-cec38a390f43,SENS-000021,UNIT-00021,REF-021,Pressure,PSI,2024-04-01 00:45:21,159.29,GOOD,False,False,2024-04-01 00:45:21
0284eebe-847a-4dff-a950-722520edc9c9,SENS-000022,UNIT-00022,REF-022,Flow Rate,BPH,2024-04-01 00:47:31,3500.0,UNCERTAIN,True,False,2024-04-01 00:47:31
0ba1097f-dcfc-4f1d-8ce6-dfac6b8a43a3,SENS-000023,UNIT-00023,REF-023,Level,Percent,2024-04-01 00:49:40,29.0,BAD,True,False,2024-04-01 00:49:40
b58fe5cd-3c6c-469a-9586-2bbfd84e5575,SENS-000024,UNIT-00024,REF-024,Vibration,mm/s,2024-04-01 00:51:50,4.72,GOOD,False,False,2024-04-01 00:51:50
